复兴村合作住宅小区|97735788元/㎡|江汉|常码头|振兴路15号
揽胜公园 南北通透 湖景房次新小区  电梯房 中间楼层采光好|18204元/㎡|洪山|珞狮南路|狮子山北路131号
湾郡(别墅) 高绿化 精装好房 居住密度低 南北通透|41941元/㎡|洪山|光谷软件园|保利北路2号
水岸星城G12 单价1.9  带车位  园景大平层|18373元/㎡|武昌|徐东|徐东二路2号
凯旋嘉苑精装3房急售 有钥匙 合作路 胜利街 洞庭街 江滩|20971元/㎡|江岸|三阳路|洞庭街52号
408万急售！保利清能别墅 东边户    平花园 地势高|24579元/㎡|江夏|藏龙岛|栗庙路
关山大道华科大门口 华润琨瑜府小高层 纯毛坯大平层四房出售|21820元/㎡|洪山|关山|关山大道29号
月亮湾壹号方正通透三房，看沙湖，急出好房|30958元/㎡|武昌|徐东|和平大道
中建大公馆一期，精装电梯大三房出售，采光视野好，满两年。|27567元/㎡|洪山|光谷软件园|关山大道
光谷十八小 233平5室 改善   送两车位 随时看房|15767元/㎡|洪山|光谷东|佛祖岭东街2号
万象城商圈 次新房 15年上手价格平推 精装朝南 方便看房|25030元/㎡|江汉|唐家墩|长江日报路79号
万科物业自营 汉口传奇唐樾四房两卫出售 企业力荐诚意出售！|28790元/㎡|江汉|汉口火车站|新华路758号
高楼层采光充足 东南户型装修好“房东直卖”全款优惠|19880元/㎡|江汉|西北湖|黄孝西路9号
武昌梦时代旁 龙湖天玺 品牌物业   南北通透   有钥匙|27497元/㎡|武昌|丁字桥|石牌岭路
汉阳滨江颜值天花板现房现房绿城出品德系奢装品质豪宅自带游泳池|20000元/㎡|汉阳|鹦鹉|晴川大道与四新南路交汇处
蓝城湖畔雲境 洪山主城约130150联排别墅仅298万起|24000元/㎡|洪山|白沙洲|青菱湖畔红园路1号
地铁口   旁下叠 下沉式庭院 负一楼  利用|24372元/㎡|洪山|光谷东|花城北路与双谷路交叉路口东北侧(武汉软件新城东北侧)
万科翡翠云台  南北通透三房诚意出售 自住家居标准|30723元/㎡|洪山|珞狮南路|雄楚大道
江城府这才是捡到漏原单价3.2万现单价2.4万带精装汉口内环|29000元/㎡|江汉|前进/江汉|民权路189号（六渡桥铜人像旁）
复地东湖国际五六期 南北通透 随时可看 刚需小三居 中间楼层|38208元/㎡|武昌|中北路|中北路
房东诚意出售  随时看房 有密码 毛坯 未入住|31102元/㎡|武昌|徐东|和平大道
外滩棕榈泉离江 近一栋 有2个车位  有电梯 交通便捷|28880元/㎡|江岸|三阳路|沿江大道229号
三阳路解放公园旁艺苑小区，老证，带30平大露台，可改四房|21949元/㎡|江岸|三阳路|解放大道1809号
光谷软件园旁，次新品质小区正荣南北通透大四房出售，楼层好|24246元/㎡|洪山|光谷软件园|南湖大道208号
万科翡翠云台 商业配套成熟 正南朝向 商品住宅 双卫生间|30966元/㎡|洪山|珞狮南路|雄楚大道
内环，世茂二期，精装大平层，中间楼层，带子母车位|16977元/㎡|汉阳|钟家村|滨江大道190号
中南品质小区，大三房，交通便捷 车位充足 南北通透|29444元/㎡|武昌|武昌火车站|武珞路
新上湖景大平层 北面视野开阔 楼下就是公园 南北双阳台|16828元/㎡|汉阳|建港|墨水湖南路
中建汤逊湖壹号别墅带花园和地下室欧式风格的联排|19685元/㎡|江夏|文化大道|环湖路
保利别墅（边户）花园130平 满2年 双车位|23495元/㎡|江夏|藏龙岛|栗庙路
近地铁，急售，急售，亏100个，南北通透边户，满二毛坯方便看|21638元/㎡|洪山|关山|光谷创业街
瑜樾东方，新小区，精装修小高层，公摊小，业主诚心卖|25038元/㎡|洪山|光谷广场|珞雄路
水生科技苑3室2厅2卫|28045元/㎡|武昌|水果湖|天鹅路1号
壹方北馆正对面  头道街地铁站  毛坯交付 天地一线之隔|31000元/㎡|江岸|永清街|解放大道头道街地铁站C出口新建后街130号
单价2.88总价三百四 国资央企 俯揽双湖 大学恒产对标复地|31485元/㎡|武昌|东亭|东亭地铁站口，中北路与黄鹂路交汇处
琨瑜府(三期)  186.6平大平层 房东MJ60万 急出！|21544元/㎡|洪山|关山|光谷创业街
住宅 3室2厅1卫 107m 朝南 约351万|37477元/㎡|江岸|竹叶山花桥|解放大道与澳门路交汇处（七号线三阳路G出口）
急售纳帕溪谷联排别墅上下四层可装电梯赠送双车位前后花园|20637元/㎡|江夏|藏龙岛|栗庙路9号
东湖尚郡 商圈成熟 交通便捷 装修好 医疗配套成熟 南北通透|29516元/㎡|洪山|铁机路|欢乐大道165号
永清街 正南朝向 电梯房 商品房 满五 中间楼层采光好|39577元/㎡|江岸|永清街|解放大道1340号
星海虹城4室2厅2卫|27028元/㎡|武昌|小东门|民主二路58号
王府花园精装大三房，楼层好|28353元/㎡|江岸|竹叶山花桥|建设大道937号
中南 梦时代 百瑞景3期 3加1大四房 中央空调带暖气 诚售|27248元/㎡|武昌|丁字桥|宝通寺路35号
滨江苑一期 多层电梯三房 拎包入住房东急售|28402元/㎡|江岸|永清街|永泰路8号
滨江苑一期 朝向好 商品房 有电梯 双卫 近地铁|27051元/㎡|江岸|永清街|永泰路8号
琨瑜府(三期)  临地铁 次新房 四叶草大四房 南北通透|23877元/㎡|洪山|关山|光谷创业街
梦寐以求的中央  138户型，我在华发等您入住您在看房的路上|28997元/㎡|江汉|王家墩CBD|水利路56号
中城荟2期次新毛坯，南北通透4房2厅2卫，公摊19.8%|28997元/㎡|江汉|王家墩CBD|水利路56号
丰泽苑独栋别墅大院子 店长力荐 业主急售欢迎咨询|12659元/㎡|江夏|庙山|江夏大道50号
琨瑜府(一期) 4叶草大4房3卫 南北通透 中间楼层 急售|24126元/㎡|洪山|关山|关山大道29号
琨瑜府(一期)  大平层 满二 四叶草户型 无贷款随时看房|21545元/㎡|洪山|关山|关山大道29号
同心大厦4室2厅1卫|28765元/㎡|武昌|水果湖|东湖路56号
世纪江尚，南北通透大3房，图片真实，自住装修用料好，诚心卖|25147元/㎡|江汉|前进/江汉|花楼街122号
江汉路 世纪江尚 蝴蝶户型中间楼层 清水毛坯  400万|21490元/㎡|江汉|前进/江汉|花楼街122号
钟家村附近 金地物业 阔气户型 居住舒适度   环境优美|15942元/㎡|汉阳|钟家村|江堤中路
墨水湖东岸湖景大平层电梯入户 一线湖景纯大平层小区|16241元/㎡|汉阳|钟家村|江堤中路
积玉桥地铁口  华润凤凰城集中供暖  南北通透大四房|22943元/㎡|武昌|积玉桥|和平大道18号
一楼花园洋房 精装修 带院子|27245元/㎡|江夏|东湖高新|大学园路1号
联排边户格局已改好院子200多平|24997元/㎡|江夏|藏龙岛|江夏大道37号
沙湖必看好房 水岸星城 大五房 沙湖实验 随时看房|23713元/㎡|武昌|徐东|徐东二路2号
复地海上海 商品住宅 中间楼层 精装后可拎包入住 南北通透|18090元/㎡|汉阳|建港|建港路1号
琨瑜府 房东急售 南北通透 大4房 央企次新小区 央企物业|23370元/㎡|洪山|关山|光谷创业街
关山 次新房 琨瑜府毛坯5房 商品住宅 交通便捷 一梯一户|21623元/㎡|洪山|关山|光谷创业街
特价好房 琨瑜府三期 楼 王位置 一梯一户 四房三卫 好楼层|23380元/㎡|洪山|关山|光谷创业街
珞狮南路八号线正地铁口一线湖景空中大复式豪装随时看房|17864元/㎡|洪山|珞狮南路|文秀街18号
众园商圈临地铁 小高层 南北通透 带人户花园 四居室 满五|22758元/㎡|青山|建设二路|和平大道967号
丰泽苑 独栋别墅 250平院子 独立库 实际使用面积450平|12595元/㎡|江夏|庙山|江夏大道50号
仁恒公园世纪 改善住宅 品质精装 次新小区 拧包入住 地铁口|22791元/㎡|江岸|后湖|兆瑞大道,近健身路
满二 交通便利 双卫生间 精装可拎包入住 高楼层视野无遮挡|26475元/㎡|江岸|永清街|永泰路8号
正荣紫阙台167平大平层产证满2年有钥匙。|21458元/㎡|洪山|光谷软件园|南湖大道208号
就是真实，中粮中叠边户，送挑空地下室，出门500 到大悦城|21393元/㎡|洪山|光谷东|光谷三路
别墅 双拼 独栋 联排边户 前后大院子 有钥匙 随时看房|18442元/㎡|江夏|文化大道|环湖路
海伦春天上叠一共三层使用面积大，带露台，老证，地铁3号线|29102元/㎡|沌口开发区|沌口周边|四新南路916号
华发中城荟中央  |水利路56号3室2厅2卫126.08平方|31726元/㎡|江汉|王家墩CBD|水利路56号
华发中城荟中央   双卫格局 正南朝向 购物方便 房源推荐！|32000元/㎡|江汉|王家墩CBD|水利路56号
青年路 华发中央   两题两户 四房两厅 小高层13%的公摊|28377元/㎡|江汉|王家墩CBD|水利路56号
华发中城荟中央   次新房 四房两卫 纯边户 小高层一梯一户|28134元/㎡|江汉|王家墩CBD|水利路56号
挂东头带地下室 欧式风格装修 证满 临湖小区|12196元/㎡|黄陂|盘龙城|腾龙大道
越秀星汇云锦 精装修大3房 南北通透 一线临江 随时看|25378元/㎡|硚口|武胜路|云锦路5号
武昌滨江徐家棚地铁口龙湖天街对面清能天奕精装三房业主诚售|30180元/㎡|武昌|徐东|和平大道
喻园(一期) 精装好房 正规商品房 近地铁 有电梯 双卫格局|29079元/㎡|洪山|关山|珞喻路1037号
红军村楚苑3室2厅2卫|26337元/㎡|武昌|水果湖|东湖路91号
边户.银湖水榭别墅。临水榭.联排次新小区，可扩建，正南证北|13665元/㎡|东西湖|金银湖|环湖路
中国院子联排别墅，环境优美，精装带前后花园 可伶包入住 老证|13290元/㎡|黄陂|盘龙城|盘龙大道特8号
江汉路武汉关 满五   税费少 全明户型 南北通透 诚意出售|24957元/㎡|江汉|前进/江汉|花楼街122号
万科翡翠国际 商品住宅 朝向好 豪华精装 双卫格局 小区新|27996元/㎡|江汉|唐家墩|长江日报路79号
东湖旁 华侨城 南北通透大三房 带车位|27426元/㎡|洪山|欢乐谷|欢乐大道228号
翠微品墅 联排边户 前后带花园 老证 随时看房 钟小 远洋旁|22982元/㎡|汉阳|琴台大道|归元寺南路
泛悦城3室2厅2卫|33345元/㎡|洪山|关山|关山大道
叠墅共3层，上叠带大露台，豪华装修，拎包入住|28777元/㎡|洪山|白沙洲|光霞西路1号
光谷东网红楼盘中建光谷之星洋房中间楼层实用率 120%|24358元/㎡|洪山|光谷东|高新大道
中建光谷之星C区 背山面水 满二两梯两户 前看公园 视野无遮|23931元/㎡|洪山|光谷东|高新大道
百瑞景中央生活区(三期) 板楼 购物方便 视野好 装修好|27248元/㎡|武昌|丁字桥|宝通寺路35号
金融港 当代国际花园 四房两厅两卫 花园大洋房 边户|26039元/㎡|江夏|东湖高新|光谷大道112号
武昌 徐家棚地铁口 龙湖清能天奕 精装修拎包入住 送新风地暖|30535元/㎡|武昌|徐东|和平大道
三环内豪华装修大别墅 上下三层送100平院子 70年产权|25247元/㎡|沌口开发区|江汉大学|芳草一路
远洋东方镜世界观8号地 186平精装4室2厅3卫400万|21477元/㎡|汉阳|钟家村|归元寺南路1号
雅居乐花园（别墅）联排边户（花园200平）湖景联排带电梯井|23282元/㎡|江夏|藏龙岛|江夏大道37号
泰然南湖玫瑰湾三期 大平层湖景房 双卫 精装可拎包入住|19663元/㎡|洪山|珞狮南路|狮子山北路77号
西斯莱公馆高区看江大平层 业主诚心出售随时看房|21168元/㎡|武昌|徐家棚|和平大道515号
400万！ 花园150平 大露台|汤逊湖别墅|19191元/㎡|江夏|庙山|明泽街
电梯房 医疗配套成熟 双卫格局 产权清晰 高绿化 交通便捷|24833元/㎡|江岸|二七路|东立街18号
卓刀泉 名都花园 5室3厅3卫 精装修 南北通透 满五|20401元/㎡|洪山|卓刀泉|雄楚大道450号
5室2厅2卫 彩光好 南北通透 价格面议|17853元/㎡|汉阳|鹦鹉|滨江大道198号
洪山广场196平电梯大平层400万香格里嘉园双地铁|20373元/㎡|武昌|中北路|体育馆路特1号
张家湾小区 水果湖一小对面 三房双阳台 精装电梯三房|39534元/㎡|武昌|水果湖|东二路5号
丽岛花园5室2厅2卫|23051元/㎡|洪山|街道口|珞狮路特1号
湖景华侨城二期  精装三房，老证税少，有钥匙随时可实地看房|24692元/㎡|洪山|欢乐谷|欢乐大道166号
再次降价！！华侨城二期精装三房，有车位，保养好，老证税少诚售|24753元/㎡|洪山|欢乐谷|欢乐大道166号
复试楼 保利花园 小高层 精装自住 地铁11号线马上 开通|21493元/㎡|洪山|关山|光谷大道219号
东湖边集中供暖自住精装大四房 满五  省税|29022元/㎡|武昌|东亭|兴国北路9号
泛悦城3室2厅2卫|28446元/㎡|洪山|关山|关山大道
金融街融御滨江 中间楼层 看江2室 不动产满2年|43550元/㎡|武昌|司门口|临江大道
后湖 购物方便 近地铁 满二 南北通透 电梯房 楼龄新|23472元/㎡|江岸|后湖|和谐大道393号
纳帕溪谷二期连排大别墅 地下室一楼双层大花园 位置独特采光好|19409元/㎡|江夏|藏龙岛|栗庙路9号
纳帕溪谷 全新精装从未入住  居住密度低 随时看房|26173元/㎡|江夏|藏龙岛|栗庙路9号
武泰闸 双卫格局 装修好 商品房 医疗配套成熟 临地铁|24554元/㎡|武昌|武泰闸|武金堤路
纳帕溪谷 超低密度 中间好楼层 产权清晰 南北通透 小区新|29198元/㎡|江夏|藏龙岛|栗庙路9号
纳帕溪谷 路边精装上叠别墅 次新小区 低密宜居|28660元/㎡|江夏|藏龙岛|栗庙路9号
安顺花园 双卫 临地铁 商品住宅 有电梯 交通便利|20281元/㎡|武昌|中北路|东湖西路5号
后官湖独栋别墅 实景现房  私家电梯 大花园 奥特莱斯商业街|21053元/㎡|蔡甸|恒大绿洲|知音湖大道与五贤路交汇处以西
靑菱湖畔一线湖景别墅约140联排约280万套起现房|23530元/㎡|洪山|白沙洲|青菱湖畔（青菱河东路1号武珞路小学旁）
中海寰宇天下 单价22000 钟家村商圈 汉阳滨江|34783元/㎡|汉阳|鹦鹉|晴川大道与显正街交汇处
武汉站杨春湖畔的独栋合院别墅干挂石材加铝板全景落地窗共6层|41238元/㎡|洪山|洪山周边|杨春湖东路与团结大道交汇处（杨春湖湿地公园内）
武广背后奢华人生，精装修四房两厅两卫拎包入住，来看了才是房子|27973元/㎡|硚口|汉正街|京汉大道、利济北路交汇处（轻轨1号线利济北路站A出口旁）
精装交付 户型格局方正 小区环境好|17022元/㎡|汉阳|升官渡|芳草路与四新大道交叉口
城投瀚城3室2厅2卫|24709元/㎡|洪山|卓刀泉|雄楚大道450号
满五 近地铁 双卫格局 精装好房 正规商品房 商业配套成熟|30988元/㎡|江岸|永清街|解放大道1340号
复地六期 小区中间 通透三房 纯毛坯 采光足 环境美 急售|37525元/㎡|武昌|中北路|中北路
刚交房没住过人武昌滨江三房急售  长江悦一线江景|31682元/㎡|武昌|积玉桥|和平大道
琨瑜府(一期) 次新房 近医院 交通便利 南北通透|23076元/㎡|洪山|关山|关山大道29号
华侨城二期湖景房，老证税少，全新毛坯，产权清晰，有钥匙随时看|24613元/㎡|洪山|欢乐谷|欢乐大道166号
琨瑜府大平层  急绛90万急卖 南北通透看房方便|21371元/㎡|洪山|关山|光谷创业街
龙湖清能天奕 南向采光好 豪华精装 成熟商圈 房东直卖|32056元/㎡|武昌|徐东|和平大道
城投瀚城豪华装修4房出售。一梯两户公摊小。楼层好视野开阔无遮|22256元/㎡|洪山|卓刀泉|雄楚大道450号
华发外滩   近地铁 正南朝向 出行方便 次新房 有电梯|38362元/㎡|江岸|二七路|永泰路
华侨城原岸南北通透三房中高楼层一线湖景满2年无贷款|27569元/㎡|洪山|欢乐谷|欢乐大道228号
徐东 地铁口  精装大平层 有露台位置安静 大横厅 万科物业|17977元/㎡|洪山|铁机路|铁机路151号
远洋品质小区全屋定制家具 南可看江 北可观湖视野开阔|24514元/㎡|汉阳|钟家村|归元寺路8号
华润悦府 毛坯四房 观江 中高楼层采光号  满二后期税费少|18977元/㎡|汉阳|五里墩|琴台大道388号
1号线友谊路站次新小区高层四居室视野开阔。|27720元/㎡|江汉|前进/江汉|京汉大道720号
武昌南湖双地铁口 电梯顶楼三层大复式 赠送100平露台|19222元/㎡|武昌|南湖花园|瑞安街84号
大平层 楼层好 医疗配套成熟 临地铁 商品房 满五 商圈成熟|22073元/㎡|武昌|南湖花园|瑞安街84号
入手光谷东改善楼盘，准现房，下个月交|23170元/㎡|洪山|光谷东|神墩一路以南、神墩三路以北、高科园路以东，高科园一路以西
碧海花园双拼别墅，自有车库，位置好，户型好，出场好|20062元/㎡|东西湖|金银湖|金银湖北街
碧海花园(别墅)4室3厅3卫|20062元/㎡|东西湖|金银湖|金银湖北街
房东急卖  青山樽 大平层 一线江景 专梯入户  南北通透|20330元/㎡|青山|建设二路|建设二路
三环内加州香山美树 低密度豪装复式洋房 南北通透三阳台|24933元/㎡|洪山|光谷软件园|茅店山路6号
东湖春树里3室2厅2卫|25254元/㎡|武昌|徐东|徐东大街50号
星海虹城6号楼两梯两户 凤凰层不临街 精装 集中暖气 价可议|23982元/㎡|武昌|小东门|民主二路58号
安顺家园精装三房两厅两卫  南北通透 坐拥skp|30127元/㎡|武昌|中北路|公正路212号
沙湖 金沙泊岸 139平南北通透 看湖小区绿化 地铁4号线|28634元/㎡|武昌|徐东|秦园东路
丰泽苑独栋别墅满二随时看房大独栋大花园|12595元/㎡|江夏|庙山|江夏大道50号
急售 狠绛90萬 包税 琨瑜府(一期)大平层 视野好 随时看|21219元/㎡|洪山|关山|关山大道29号
南北通透 近医院 满五   有电梯 双卫生间 商业配套成熟|26330元/㎡|武昌|水果湖|水果湖路29号
下调80万必看好房！业主出国 只卖9月 豪装大三房 议价|23873元/㎡|洪山|关山|珞瑜路1037号
光谷龙山湖中间楼层大平层观湖观山，高品质诚意出售|17059元/㎡|江夏|东湖高新|顶冠峰路
坐标城 中心位置 大三房 一楼带大院子|26521元/㎡|洪山|光谷软件园|关山大道519号
150平花园 精装联排边户 三层送地下室独立车库万豪水岸枫林|16041元/㎡|江夏|庙山|藏龙大道
保利大都会 自住豪装次新房 家具家电全留 房东直卖 价格可议|30858元/㎡|洪山|卓刀泉|雄楚大道355号
万科金域学府 3室2厅2卫|28104元/㎡|洪山|珞狮南路|雄楚大道360号
CBD商务区 泛海国际芸海园 南北通透 超精装 随时看房。。|29664元/㎡|江汉|王家墩CBD|双墩路
名湖豪庭电梯下叠别墅，纯毛坯，带院子地下室，诚心出售|22959元/㎡|江夏|金融港|华师园路9号
毛坯长源别墅装修自己说的算不临马路，无柱子双车库近地铁万达|15463元/㎡|东西湖|金银湖|海口二路
长源假日港湾(别墅)179.51平套内300多可议价|22172元/㎡|东西湖|金银湖|海口二路
友谊国际3室2厅2卫|30378元/㎡|武昌|积玉桥|友谊大道特1号
小区    ，房东诚心卖房，看房随时，到价可以随时签约|32474元/㎡|武昌|南湖花园|建安街特1号
桃山村(洪山路) 交通便利 大两居 朝向好 商业配套齐全|35315元/㎡|武昌|水果湖|洪山路62号
必看好房下叠 带花园 带地下室 诚心出售 看房蛮方便的|23793元/㎡|洪山|光谷软件园|汤逊湖北路
房主本人直卖，证满两年无贷款，边套，送地下室，高性价比|19205元/㎡|黄陂|盘龙城|盘龙大道48号
业主小姐姐卖房下叠边户180平大花园仅售398万随时可看|26181元/㎡|江夏|藏龙岛|栗庙路9号
藏龙岛 纳帕溪谷精装可拎包入住 采光好 密度低 南北通透|27326元/㎡|江夏|藏龙岛|栗庙路9号
统建千禧园 南北通透 临地铁 复式房 使用面积235平 ，|27974元/㎡|江汉|万松园|雪松路3号
中北路 复地东湖国际 业主诚心出售，看房方便 拎包入住|45843元/㎡|武昌|中北路|兴国路7号
联排别墅低总价高享受 拥抱幽静田园,坐享城市繁华|23228元/㎡|江岸|后湖|后湖二路198号
带电梯的精装别墅 双车位 巢NEST仙鹤苑 诚意出售中|17009元/㎡|黄陂|盘龙城|盘龙大道9号
佳源花都9室6厅6卫，高性价比，价格可谈，带阁楼，诚心出售|12007元/㎡|江夏|金融港|高新二路128号
中国院子 半山大联排 东边户 150平院子 带天井|13437元/㎡|黄陂|盘龙城|盘龙大道特8号
东湖金茂府 地铁口小区 采光好 中间楼层 出行方便 次新小区|28120元/㎡|洪山|欢乐谷|黄鹤路
（清江山水九程） 洋房 中间楼层 业主诚意售 随时看房|28112元/㎡|洪山|光谷软件园|南湖大道
统建大江园南苑4室2厅2卫高层电梯房,精装修,满二,近地铁|23529元/㎡|江岸|竹叶山花桥|江大路37号
满五 带电梯 交通便利 朝向好 双卫格局 精装好房|30678元/㎡|江岸|永清街|解放大道1340号
复地东湖国际 五六期 精装三房 有钥匙 高区视野好|37201元/㎡|武昌|中北路|中北路
武汉碧桂园江汉山色(三层别墅带三百多平花园)5室2厅5卫|10738元/㎡|汉南|汉南城区|船头山1号
单价2字头小区  总价三房 徐家棚578地铁 万象城旁月亮湾|29731元/㎡|武昌|徐东|和平大道
双卫格局 商圈成熟 交通便捷 近地铁 朝南 商品房 居家自住|31502元/㎡|武昌|徐东|和平大道
急售 地铁口公园旁 带100平大院子 送地下室|24098元/㎡|洪山|光谷东|光谷三路
徐东 双卫格局 出行方便 停车方便 医疗配套成熟 南向采光好|29501元/㎡|武昌|徐东|和平大道
中国院子精装修联排别墅，家具家电齐全，拎包入住|14136元/㎡|黄陂|盘龙城|盘龙大道特8号
恒大首府 豪装70万 谈好送车位 置换天花板 中间楼层|24537元/㎡|武昌|积玉桥|和平大道716号
东湖边省博旁园林式小区  改善大四房  南北通透 有入户花园|28782元/㎡|武昌|东亭|兴国北路9号
业主诚心出售性价比高 院子非常大单独的一排|12462元/㎡|江夏|庙山|江夏大道50号
武汉奥林匹克花园豪装大四房有钥匙诚心出售|17778元/㎡|东西湖|金银湖|环湖中路18号
西北湖CBD 华发中城荟中央   小高层 次新小区|27782元/㎡|江汉|王家墩CBD|水利路56号
越秀星汇云锦一期，一线看江，精装3房带暖气，老证|27656元/㎡|硚口|武胜路|云锦路5号
翠微品墅 上下4层 老证 395万急售|22659元/㎡|汉阳|琴台大道|归元寺南路
武昌滨江  橡树湾一期一线江景精装四房 拎包即住|23979元/㎡|武昌|徐东|铁机路48号
墨水湖电梯洋房 复式送露台空中花园 芳草二桥地铁口|15735元/㎡|汉阳|王家湾|龙阳大道33号
沙湖水岸星城花园洋房复式，低公摊，多露台赠送|21050元/㎡|武昌|徐东|徐东二路2号
四新招商公园  环境优美 物业好  业主自住装修 性价比高|19730元/㎡|汉阳|四新|江城大道288号
汉口城市广场(5期)4室2厅2卫|22537元/㎡|江岸|后湖|后湖大道111号
珞狮南路 商业配套成熟 南北通透 产权清晰 交通便捷 装修好|21649元/㎡|洪山|珞狮南路|文馨街175号
（新上！软件园！电梯洋房）带车位！南北通透双阳台！|28041元/㎡|洪山|光谷软件园|南湖大道
新上笋盘带星空露台 地铁口 公园旁 中粮光谷祥云 随时看房|24086元/㎡|洪山|光谷东|光谷三路
公寓住宅 3室2厅2卫 125m 朝南北 约394万  房|31520元/㎡|武昌|东亭|东亭地铁站口，中北路与黄鹂路交汇处
板楼高层 集中供暖 户型方正 湖景房 房东直卖|30035元/㎡|武昌|小东门|星海路特1号
银海山庄 3室2厅2卫 南北通透 带电梯 有暖气 价格可议|25716元/㎡|武昌|水果湖|洪山侧路52号
越秀国际金融汇(一期)3室2厅2卫|34514元/㎡|江汉|新华路|精武路1号
卓刀泉，城投瀚城，自住豪装四房，带车位，诚心出售，满二年|24684元/㎡|洪山|卓刀泉|雄楚大道450号
武汉天地旁，常阳永清城南北二房.|39964元/㎡|江岸|永清街|解放大道1340号
南湖半岛 环境优美 得房率高 有电梯 医疗配套成熟 商品房|16695元/㎡|洪山|新南湖|南湖北岸特1号
积玉桥 华润置地凤凰城电梯洋房  一梯两户|25134元/㎡|武昌|积玉桥|和平大道18号
花园洋房大四房，金地梦茵看房有钥匙|24058元/㎡|洪山|珞狮南路|文昌路90号
大华南湖公园世家西区 交通便利 商业配套成熟 高楼层采光充足|25385元/㎡|洪山|新南湖|文馨街108号
医疗配套成熟 朝向好 双卫格局 高楼层采光充足 近地铁 满二|26140元/㎡|江岸|永清街|永泰路8号
水岸星城花园洋房，带几个露台，单价低，业主急售|20386元/㎡|武昌|徐东|徐东二路2号
满五   有电梯 小区新 出行方便 近地铁 楼层好|23483元/㎡|洪山|新南湖|野芷湖西路10号
月亮湾壹号 少有户型 130平   通透  高楼层  急售|29870元/㎡|武昌|徐东|和平大道
大厦3室2厅2卫|29324元/㎡|江岸|江汉路|六合路6号
(一线湖景房)（体验不一样的感觉）近地铁 品质小区 出门公园|18668元/㎡|汉阳|王家湾|龙阳大道95号
南北通透 医疗配套成熟 商品住宅 精装可拎包入住 楼龄新|30079元/㎡|洪山|广埠屯|八一路340号
洪山区街道口珞狮南路电梯房诚心出售随时可看|25403元/㎡|洪山|珞狮南路|珞狮南路268号
湾郡北岸公錧 纯毛坯 东边户 带大院子 诚心出售 看房方便|23326元/㎡|洪山|光谷软件园|汤逊湖北路
小区环境好，密度低，生活方便，房东诚心出售，价格还有空间。|23700元/㎡|江夏|藏龙岛|江夏大道37号
奥特莱斯地铁口  恒达盘龙湾别墅 纯毛坯 老证 随时看房|14280元/㎡|黄陂|盘龙城|盘龙大道
（必看好房）！（一线湖景大平层）！赠送观景大阳台！随时看房！|16136元/㎡|汉阳|建港|墨水湖南路
硚口越秀星汇云锦  高楼层 精装大四室两卫  看江户型 老证|25919元/㎡|硚口|武胜路|云锦路5号
小区环境好，房东诚心出售，出行生活方便，价格还有可谈空间|27686元/㎡|洪山|光谷软件园|关山大道
财富兴园中部慧谷A区企业独栋办公带电梯精装拎包入住|6870元/㎡|东西湖|金银湖|环湖路57号
2号线3号线地铁 全屋带暖气精装修 南北通透户型|29066元/㎡|江岸|竹叶山花桥|惠济一路15号
百瑞景中央生活区(一期) 精装好房 产权清晰 南北通透|26332元/㎡|武昌|丁字桥|宝通寺路
精装把头别墅，位置好，带大院子，老证税少，看房方便！|16113元/㎡|沌口开发区|天鹅湖大道|博艺路
人信千年美丽(南区别墅)5室2厅3卫|19025元/㎡|蔡甸|恒大绿洲|天鹅湖大道
二七滨江（航天双城）双地铁13号线 恒大物业 老证|27273元/㎡|江岸|二七路|东立街18号
江汉CBD 泛海国际桂海园 高楼层 三房两厅 视野好 有钥匙|27048元/㎡|江汉|王家墩CBD|嘉陵江路1号
保利时代小区 电梯房   位于光谷关山大道   精装修 四房|24586元/㎡|洪山|关山|关山大道332号
翡翠滨江一期  大平层四房三卫  江景了得  老证无贷|22549元/㎡|汉阳|郭茨口|琴台大道
奥山商圈旁大华铂金瑞府，南北通透大三居次新房，出门就是公园。|27929元/㎡|青山|余家头|园林路15号
一梯一户 全新意式轻奢4房改善 中西厨 洗衣房 拎包入住|23408元/㎡|江岸|后湖|华岭路66号
（必看好房）！送露台地下室！纯别墅区！随时看房！|22942元/㎡|汉阳|四新|夏弦街2号
光谷东 大平层 6层高的电梯洋房 地铁500 现房|28677元/㎡|洪山|光谷东|花城北路与双谷路交叉路口东北侧(武汉软件新城东北侧)
第四代低密洋房 折扣大 二七滨江商务区 汉口核心|30953元/㎡|江岸|二七路|二七路与黑泥湖路（规划道路）交汇处，黑泥湖路西侧（规划道路）
阿里巴巴总部 武昌徐东滨江商务区核心内环  改善天花板|30000元/㎡|武昌|徐东|友谊大道401号（阿里华中总部旁）
武昌内环滨江 地铁口月亮湾壹号 三房二卫 楼层好 房东诚售|30179元/㎡|武昌|徐东|和平大道
高端品质小区 楼层好 采光好 临近地铁 交通便利 价格低|19837元/㎡|江岸|后湖|华岭路66号
关山大道华科大地铁口 华润琨瑜府 纯毛坯 南北通透大平常四房|23017元/㎡|洪山|关山|关山大道29号
满五  武昌滨江 地铁口 精装全房暖气进口电器|25010元/㎡|武昌|徐家棚|和平大道513号
急售 华科旁 临地铁 琨御府次新房 4叶草大四房 商圈成熟|22462元/㎡|洪山|关山|关山大道29号
百瑞景(四期)居家精装  业主诚售    好房 次新小区|24610元/㎡|武昌|丁字桥|宝通寺路28号
